AGE,CANDIDATES,CATEGORY,CONSTITUENCY,GENERAL VOTES POLLED,No,PARTY,POSTAL VOTES POLLED,SEX,TERRITORY,TOTAL VOTES POLLED,TOTAL GENERAL VOTES POLLED,TOTAL POSTAL VOTES POLLED,TOTAL ELECTORS,TOTAL MEN ELECTORS,TOTAL WOMEN ELECTORS,% OF TOTAL VOTES,TOTAL VOTES RECEIVED,% OF TOTAL POLLED
47,YERRANNAIDU KINJARAPU,GEN,SRIKAKULAM,361586,1,TDP,320,M,ANDHRA PRADESH,723774,722856,918,958626,456636,501990,37.752575039692225,361906,50.00262512883856
39,KILLI KRUPARANI,GEN,SRIKAKULAM,329432,2,INC,595,F,ANDHRA PRADESH,723774,722856,918,958626,456636,501990,34.427086267219956,330027,45.59807343176185
49,DUNGA RANGARAO NAIDU,GEN,SRIKAKULAM,13848,5,IND,0,M,ANDHRA PRADESH,723774,722856,918,958626,456636,501990,1.4445675372877431,13848,1.913304429283174
37,MYLAPALLI LAKSHMUDU,GEN,SRIKAKULAM,13008,3,BSP,3,M,ANDHRA PRADESH,723774,722856,918,958626,456636,501990,1.357255071320828,13011,1.797660595710816
37,TAMMINENI JAGANMOHAN RAO,GEN,SRIKAKULAM,4982,4,IND,0,M,ANDHRA PRADESH,723774,722856,918,958626,456636,501990,0.5197021570456049,4982,0.6883364144056018
57,KISHORE CHANDRA SURYANARAYANA DEO,ST,PARVATHIPURAM (ST),321355,1,INC,433,M,ANDHRA PRADESH,660923,660212,711,896336,432612,463724,35.90037664447261,321788,48.687668608899976
35,DADICHILUKA VEERA GOURI SANKARA RAO,ST,PARVATHIPURAM (ST),314098,2,TDP,272,M,ANDHRA PRADESH,660923,660212,711,896336,432612,463724,35.072785205547916,314370,47.565298832087855
32,UOOYAKA MUTYALU,ST,PARVATHIPURAM (ST),13895,4,IND,1,M,ANDHRA PRADESH,660923,660212,711,896336,432612,463724,1.550311490333982,13896,2.102514211186477
55,ARIKA GUMPASWAMY,ST,PARVATHIPURAM (ST),10864,3,IND,5,M,ANDHRA PRADESH,660923,660212,711,896336,432612,463724,1.2126033094732334,10869,1.6445183478256922
73,KONDAPALLI PYDITHALLI NAIDU,GEN,BOBBILI,373469,1,TDP,453,M,ANDHRA PRADESH,746725,745517,1208,976012,474981,501031,38.31120928841039,373922,50.0749271820282
37,JHANSI BOTCHA,GEN,BOBBILI,341850,2,INC,724,F,ANDHRA PRADESH,746725,745517,1208,976012,474981,501031,35.09936353241558,342574,45.87686229870434
55,PEDDINTI JAGANMOHAN RAO,GEN,BOBBILI,16067,4,IND,31,M,ANDHRA PRADESH,746725,745517,1208,976012,474981,501031,1.6493649668241783,16098,2.155813719910275
47,G VENKATESH,SC,BOBBILI,14131,3,TRS,0,M,ANDHRA PRADESH,746725,745517,1208,976012,474981,501031,1.4478305594603345,14131,1.8923967993571928
69,JANARDHANA REDDY NEDURUMALLI,GEN,VISAKHAPATNAM,523889,2,INC,233,M,ANDHRA PRADESH,965740,965365,375,1515574,752037,763537,34.58240904106299,524122,54.27154306542133
65,DR M V V S MURTHY,GEN,VISAKHAPATNAM,393415,3,TDP,136,M,ANDHRA PRADESH,965740,965365,375,1515574,752037,763537,25.967125326773882,393551,40.751237393087166
64,KOLAVENTI SUNDARA RAO,GEN,VISAKHAPATNAM,16673,1,BSP,0,M,ANDHRA PRADESH,965740,965365,375,1515574,752037,763537,1.1001112449804495,16673,1.7264481123283701
59,BHARANIKANA RAMA RAO,GEN,VISAKHAPATNAM,10997,8,IND,5,M,ANDHRA PRADESH,965740,965365,375,1515574,752037,763537,0.7259295817954122,11002,1.1392300205024126
43,MANDEM SUBHASH CHANDRA BOSE YADAV,GEN,VISAKHAPATNAM,5685,4,SP,0,M,ANDHRA PRADESH,965740,965365,375,1515574,752037,763537,0.3751054056087001,5685,0.5886677573674073
60,SATYANARAYANA MACHIRAJU,GEN,VISAKHAPATNAM,5602,10,IND,0,M,ANDHRA PRADESH,965740,965365,375,1515574,752037,763537,0.36962893266841473,5602,0.5800733116573819
28,VAMSI KIRAN B,GEN,VISAKHAPATNAM,2920,6,PPOI,0,M,ANDHRA PRADESH,965740,965365,375,1515574,752037,763537,0.19266627693533936,2920,0.30235881293101663
57,S V B REDDY,GEN,VISAKHAPATNAM,2358,9,IND,0,M,ANDHRA PRADESH,965740,965365,375,1515574,752037,763537,0.15558461678545554,2358,0.24416509619566343
67,MAMIDI SOMUNAIDU,GEN,VISAKHAPATNAM,2017,5,RJD,1,M,ANDHRA PRADESH,965740,965365,375,1515574,752037,763537,0.13315087221079275,2018,0.20895893304616148
63,APPARAO GUDIVADA,GEN,VISAKHAPATNAM,1809,7,IND,0,M,ANDHRA PRADESH,965740,965365,375,1515574,752037,763537,0.11936071745754413,1809,0.1873174974630853
