TERRITORY,CONSTITUENCY,CANDIDATE,SEX,AGE,CATEGORY,PARTY,PARTY SYMBOL,GENERAL VOTES SECURED,POSTAL VOTES SECURED,TOTAL VOTES SECURED,% OF TOTAL VOTES,% OF TOTAL POLLED,TOTAL ELECTORS
Andhra Pradesh,Adilabad ,GODAM NAGESH,M,49,ST,TRS,Car,425762,5085,430847,31.0793186379106,40.8180724375432,1386282
Andhra Pradesh,Adilabad ,NARESH,M,37,ST,INC,Hand,257994,1563,259557,18.7232467852861,24.5902058681421,1386282
Andhra Pradesh,Adilabad ,RAMESH RATHOD,M,48,ST,TDP,Bicycle,182879,1319,184198,13.2871955345305,17.4507593341734,1386282
Andhra Pradesh,Adilabad ,RATHOD SADASHIV,M,55,ST,BSP,Elephant,94363,57,94420,6.81102401964391,8.94526920125435,1386282
Andhra Pradesh,Adilabad ,NETHAWATH RAMDAS,M,44,ST,IND,Auto- Rickshaw,41028,4,41032,2.95985953795837,3.887336219719,1386282
Andhra Pradesh,Adilabad ,PAWAR KRISHNA,M,33,ST,IND,Bat,5051,4,5055,0.364644422996187,0.478906331416445,1386282
Andhra Pradesh,Adilabad ,BANKA SAHADEV,M,53,ST,IND,Gas Cylinder,4780,7,4787,0.345312137068793,0.453516243024831,1386282
Andhra Pradesh,Adilabad ,MOSALI CHINNAIAH,M,40,ST,IND,Almirah,8842,17,8859,0.639047466532783,0.839294003960096,1386282
Andhra Pradesh,Adilabad ,None of the Above,,,,NOTA,NOTA,17021,63,17084,1.23236109247613,1.61852339582958,1386282
Andhra Pradesh,Peddapalle ,DR.JANAPATI SARAT BABU,M,42,SC,TDP,Bicycle,63174,160,63334,4.44338427970576,6.17786001831879,1425355
Andhra Pradesh,Peddapalle ,TAGARAM SHANKAR LAL,M,37,SC,BSP,Elephant,9430,19,9449,0.66292257016673,0.921694497633092,1425355
Andhra Pradesh,Peddapalle ,BALKA SUMAN,M,31,SC,TRS,Car,563214,2282,565496,39.6740461148275,55.1608161322386,1425355
Andhra Pradesh,Peddapalle ,G. VIVEKANAND,M,56,SC,INC,Hand,273441,897,274338,19.2469946083607,26.7600619210146,1425355
Andhra Pradesh,Peddapalle ,KALVALA SHANKAR,M,44,SC,PPOI,Television,9288,2,9290,0.651767454423635,0.906184980739911,1425355
Andhra Pradesh,Peddapalle ,KALVALA SANJEEV,M,37,SC,RPI,Sewing Machine,8609,0,8609,0.603989883222074,0.839757427254025,1425355
Andhra Pradesh,Peddapalle ,BOTHA VENKATA MALLAIAH,M,58,SC,BCUF,Chappals,2245,0,2245,0.157504621655658,0.218986575001195,1425355
Andhra Pradesh,Peddapalle ,J.V. RAJU,M,50,SC,NIP,Cup & Saucer,3020,0,3020,0.211877041158168,0.294583276839024,1425355
Andhra Pradesh,Peddapalle ,VENKATA SWAMY INJAM,M,42,SC,MaSP,Ring,3861,5,3866,0.271230675866714,0.377105612006512,1425355
Andhra Pradesh,Peddapalle ,VELTHURU MALLAIAH,M,57,SC,RP(K),Auto- Rickshaw,45976,1,45977,3.22565255673148,4.48478652954563,1425355
Andhra Pradesh,Peddapalle ,KAMILLA JAYA RAO,M,43,SC,IND,Scissors,2741,1,2742,0.192373128097912,0.267466008308809,1425355
Andhra Pradesh,Peddapalle ,GADDALA VINAY KUMAR,M,65,SC,IND,Ceiling Fan,3263,3,3266,0.229135899477674,0.318579133164322,1425355
Andhra Pradesh,Peddapalle ,GORRE RAMESH,M,43,SC,IND,Gas Cylinder,2359,2,2361,0.165642945090872,0.230301694244018,1425355
Andhra Pradesh,Peddapalle ,JINNA RAMADEVI,F,37,SC,IND,Battery Torch,9199,0,9199,0.64538308000463,0.897308464782179,1425355
Andhra Pradesh,Peddapalle ,THALLAPALLI SRINIVAS,M,35,SC,IND,Candles,3698,1,3699,0.259514296438431,0.360815742062102,1425355
Andhra Pradesh,Peddapalle ,BUPELLI NARAYANA,M,30,SC,IND,Bat,7255,3,7258,0.509206478386086,0.707975305727694,1425355
Andhra Pradesh,Peddapalle ,MOUTAM RAVINDER,M,33,SC,IND,Almirah,2671,3,2674,0.187602386773821,0.260833007373361,1425355
Andhra Pradesh,Peddapalle ,None of the Above,,,,NOTA,NOTA,5344,17,5361,0.376116827036072,0.522934088454969,1425355
Andhra Pradesh,Karimnagar ,CHENNAMANENI VIDYA SAGAR RAO,M,73,GEN,BJP,Lotus,213836,992,214828,13.8526318504523,19.058332364868,1550810
