,CANDIDATE,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
0,VISWANDHAM KANITHI,1989,ANDHRA PRADESH,SRIKAKULAM,INC,42.6
1,APPAYYADORA HANUMANTHLI,1989,ANDHRA PRADESH,SRIKAKULAM,TDP,37.78
2,KINJARAPU YERRANNAIDU,1989,ANDHRA PRADESH,SRIKAKULAM,IND,15.06
3,ATTADA APPALANAIDU,1989,ANDHRA PRADESH,SRIKAKULAM,BJP,1.96
4,ATLA APPOJAMMA (W),1989,ANDHRA PRADESH,SRIKAKULAM,IND,1.05
5,KINJARAPU RAMAMOHANNAIDU,1989,ANDHRA PRADESH,SRIKAKULAM,IND,0.91
6,LABHALA LOKESHWARA RAO,1989,ANDHRA PRADESH,SRIKAKULAM,JP,0.51
7,TARA SURYANARAYANA,1989,ANDHRA PRADESH,SRIKAKULAM,IND,0.14
8,VIJAYARAMARAJU SATRUCHARLA,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),INC,53.01
9,KISHORE CHANDRA SURYANARAYANADEO VIRICHERLA,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),ICS(SCS),43.61
10,ARIKA GUMPASWAMMY,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,2.41
11,AYODHYA NIMMAKA,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,0.97
12,ANANDA GAJAPATHI RAJU POOSAPATHI,1989,ANDHRA PRADESH,BOBBILI,INC,49.59
13,KEMBURU RAMA MOHANA RAO,1989,ANDHRA PRADESH,BOBBILI,TDP,44.62
14,PAKA RAJA RAO,1989,ANDHRA PRADESH,BOBBILI,BJP,2.61
15,GOTTAPU APPALA NAIDU,1989,ANDHRA PRADESH,BOBBILI,IND,1.94
16,BOTCHA RAMULU,1989,ANDHRA PRADESH,BOBBILI,IND,0.54
17,PABBINEEDU VENKATESWARA RAO,1989,ANDHRA PRADESH,BOBBILI,IND,0.24
18,APPARAO GUDIVADA,1989,ANDHRA PRADESH,BOBBILI,IND,0.21
19,VENKATARAO MESSALA,1989,ANDHRA PRADESH,BOBBILI,IND,0.16
20,SOMU SREENIVASA RAO,1989,ANDHRA PRADESH,BOBBILI,IND,0.1
21,M.V.V.S. MURTHI,1989,ANDHRA PRADESH,VISAKHAPATNAM,TDP,45.82
22,UMA GAJAPATHIRAJU (W),1989,ANDHRA PRADESH,VISAKHAPATNAM,INC,45.0
23,CHALAPATHI RAO P.V.,1989,ANDHRA PRADESH,VISAKHAPATNAM,BJP,6.28
24,GOLLAKOTI VISHNU MURTHY,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.99
25,MALLA SATTANARAYANA,1989,ANDHRA PRADESH,VISAKHAPATNAM,JP,0.38
26,BHEEMARASETTI VISWANATHAM,1989,ANDHRA PRADESH,VISAKHAPATNAM,BSP,0.34
27,MAMIDI SOMINAIDU,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.29
28,JOGA VENKATARAMANA YADAV,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.27
29,PARISA VENKATANARAYANA,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.19
30,PALURI SESHUMAMBA (W),1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.18
31,N.V. RAJU,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.13
32,MANTHENA KRISHAN MURTHYRAJU,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.12
33,KARREDDULA KAMALAKUMARI (W),1989,ANDHRA PRADESH,BHADRACHALAM (ST),INC,48.23
34,RAMAIAH SODE,1989,ANDHRA PRADESH,BHADRACHALAM (ST),CPI,39.31
35,GORLE DHANUNJAYA RAJU,1989,ANDHRA PRADESH,BHADRACHALAM (ST),BJP,3.92
36,BONKU PRABHAKARA RAO,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,3.4
37,KURSAM ACHAIAH,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,1.84
38,BAPANNA DORA,1989,ANDHRA PRADESH,BHADRACHALAM (ST),BSP,1.36
39,BAKURU KONDABABU,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,0.77
40,JANSHI (W),1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,0.64
41,VANI RAMANA RAO P. (W),1989,ANDHRA PRADESH,BHADRACHALAM (ST),JP,0.53
42,KONATHALA RAMAKRISHNA,1989,ANDHRA PRADESH,ANAKAPALLI,INC,44.67
43,APPALANARASIMHAM P.,1989,ANDHRA PRADESH,ANAKAPALLI,TDP,42.76
44,SANYASINAIDU VEESAM,1989,ANDHRA PRADESH,ANAKAPALLI,BJP,7.82
45,YELLAPPU SUBRAMANYAM,1989,ANDHRA PRADESH,ANAKAPALLI,IND,2.43
46,APPARAO KIRLA,1989,ANDHRA PRADESH,ANAKAPALLI,JP,0.93
47,POOSARLA TRIMURTHULU,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.76
48,BADDI SURANARAYANA,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.56
49,SURAYANARAYANA RAJU KUCHERLAPATHI,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.07
50,THOTA SUBBARAO,1989,ANDHRA PRADESH,KAKINADA,TDP,48.85
51,MANGAPATI PALLAMRAJU MALLIPUDI,1989,ANDHRA PRADESH,KAKINADA,INC,42.85
52,RAO VENKATA MAHEEPATI RAMA RATNA RAO,1989,ANDHRA PRADESH,KAKINADA,BJP,3.55
53,THOTA RAMANJANEYULU,1989,ANDHRA PRADESH,KAKINADA,IPF,1.24
54,CHOKKA TATARAO,1989,ANDHRA PRADESH,KAKINADA,BSP,1.15
55,KOTHAM VENKATA SRINIVAS RAO (KOTI),1989,ANDHRA PRADESH,KAKINADA,IND,0.91
56,CHINITAPALLI KANAKARAO,1989,ANDHRA PRADESH,KAKINADA,JP,0.77
57,MADDUKURI SATYA SEVAK,1989,ANDHRA PRADESH,KAKINADA,IND,0.25
58,GIDLA SIMHACHALAM,1989,ANDHRA PRADESH,KAKINADA,IND,0.18
59,GURRAM KAMESWARAO,1989,ANDHRA PRADESH,KAKINADA,IND,0.17
60,VADLAMANI VENKATA RAMANA,1989,ANDHRA PRADESH,KAKINADA,IND,0.09
61,K.V.R. CHOWDARY,1989,ANDHRA PRADESH,RAJAHMUNDRY,TDP,51.54
62,JAMUNA (W),1989,ANDHRA PRADESH,RAJAHMUNDRY,INC,41.41
