,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
0,1989,ANDHRA PRADESH,SRIKAKULAM,INC,42.6
1,1989,ANDHRA PRADESH,SRIKAKULAM,TDP,37.78
2,1989,ANDHRA PRADESH,SRIKAKULAM,IND,15.06
3,1989,ANDHRA PRADESH,SRIKAKULAM,BJP,1.96
4,1989,ANDHRA PRADESH,SRIKAKULAM,IND,1.05
5,1989,ANDHRA PRADESH,SRIKAKULAM,IND,0.91
6,1989,ANDHRA PRADESH,SRIKAKULAM,JP,0.51
7,1989,ANDHRA PRADESH,SRIKAKULAM,IND,0.14
8,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),INC,53.01
9,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),ICS(SCS),43.61
10,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,2.41
11,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,0.97
12,1989,ANDHRA PRADESH,BOBBILI,INC,49.59
13,1989,ANDHRA PRADESH,BOBBILI,TDP,44.62
14,1989,ANDHRA PRADESH,BOBBILI,BJP,2.61
15,1989,ANDHRA PRADESH,BOBBILI,IND,1.94
16,1989,ANDHRA PRADESH,BOBBILI,IND,0.54
17,1989,ANDHRA PRADESH,BOBBILI,IND,0.24
18,1989,ANDHRA PRADESH,BOBBILI,IND,0.21
19,1989,ANDHRA PRADESH,BOBBILI,IND,0.16
20,1989,ANDHRA PRADESH,BOBBILI,IND,0.1
21,1989,ANDHRA PRADESH,VISAKHAPATNAM,TDP,45.82
22,1989,ANDHRA PRADESH,VISAKHAPATNAM,INC,45.0
23,1989,ANDHRA PRADESH,VISAKHAPATNAM,BJP,6.28
24,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.99
25,1989,ANDHRA PRADESH,VISAKHAPATNAM,JP,0.38
26,1989,ANDHRA PRADESH,VISAKHAPATNAM,BSP,0.34
27,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.29
28,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.27
29,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.19
30,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.18
31,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.13
32,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.12
33,1989,ANDHRA PRADESH,BHADRACHALAM (ST),INC,48.23
34,1989,ANDHRA PRADESH,BHADRACHALAM (ST),CPI,39.31
35,1989,ANDHRA PRADESH,BHADRACHALAM (ST),BJP,3.92
36,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,3.4
37,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,1.84
38,1989,ANDHRA PRADESH,BHADRACHALAM (ST),BSP,1.36
39,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,0.77
40,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,0.64
41,1989,ANDHRA PRADESH,BHADRACHALAM (ST),JP,0.53
42,1989,ANDHRA PRADESH,ANAKAPALLI,INC,44.67
43,1989,ANDHRA PRADESH,ANAKAPALLI,TDP,42.76
44,1989,ANDHRA PRADESH,ANAKAPALLI,BJP,7.82
45,1989,ANDHRA PRADESH,ANAKAPALLI,IND,2.43
46,1989,ANDHRA PRADESH,ANAKAPALLI,JP,0.93
47,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.76
48,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.56
49,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.07
50,1989,ANDHRA PRADESH,KAKINADA,TDP,48.85
51,1989,ANDHRA PRADESH,KAKINADA,INC,42.85
52,1989,ANDHRA PRADESH,KAKINADA,BJP,3.55
53,1989,ANDHRA PRADESH,KAKINADA,IPF,1.24
54,1989,ANDHRA PRADESH,KAKINADA,BSP,1.15
55,1989,ANDHRA PRADESH,KAKINADA,IND,0.91
56,1989,ANDHRA PRADESH,KAKINADA,JP,0.77
57,1989,ANDHRA PRADESH,KAKINADA,IND,0.25
58,1989,ANDHRA PRADESH,KAKINADA,IND,0.18
59,1989,ANDHRA PRADESH,KAKINADA,IND,0.17
60,1989,ANDHRA PRADESH,KAKINADA,IND,0.09
61,1989,ANDHRA PRADESH,RAJAHMUNDRY,TDP,51.54
62,1989,ANDHRA PRADESH,RAJAHMUNDRY,INC,41.41
63,1989,ANDHRA PRADESH,RAJAHMUNDRY,BJP,3.91
64,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,1.09
65,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.8
66,1989,ANDHRA PRADESH,RAJAHMUNDRY,BSP,0.42
67,1989,ANDHRA PRADESH,RAJAHMUNDRY,JP,0.23
68,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.16
